11h08m39.52s -77d34m16.6s
11h43m26.69s -78d04m45.4s
11h06m41.8s -76d35m48.9s
11h12m09.84s -76d34m36.6s
11h18m36.72s -79d35m55.8s
11h02m55.04s -77d21m50.8s
11h12m48.61s -76d47m06.6s
11h11m39.65s -76d20m15.2s
11h10m53.33s -76d34m31.9s
11h09m23.79s -76d23m20.7s
11h17m37s -77d04m38.1s
11h08m01.48s -77d42m28.8s
10h56m30.44s -77d11m39.3s
10h59m01.08s -77d22m40.7s
11h11m46.32s -76d20m09.2s
10h58m16.77s -77d17m17s
11h02m24.91s -77d33m35.7s
11h12m27.72s -76d44m22.3s
11h07m20.74s -77d38m07.3s
8h44m08.61s -78d33m45.25s
8h42m26.37s -78d57m44.48s
8h44m15.65s -78d59m05.43s
8h43m07.19s -79d04m50.84s
8h47m55.72s -78d54m52.74s
8h43m17.24s -79d05m16.74s
8h36m55.77s -78d56m45.71s
8h47m01.25s -78d59m34.02s
16h08m25.76s -39d06m01.1s
15h58m02.53s -37d36m02.7s
16h13m44.11s -37d36m46.4s
16h08m30.81s -39d05m48.8s
16h08m55.52s -39d02m33.9s
16h09m06.21s -39d08m51.8s
15h45m17.42s -34d18m28.5s
16h00m00.62s -42d21m57.5s
16h09m01.84s -39d05m12.5s
16h08m51.57s -39d03m17.7s
16h08m30.26s -39d06m11.1s
15h49m30.74s -35d49m51.4s
16h08m24.04s -39d05m49.4s
16h08m21.79s -39d04m21.5s
16h09m44.34s -39d13m30.3s
15h39m28.28s -34d46m18s
15h48m05.23s -35d15m52.8s
15h47m50.63s -35d28m35.4s
16h00m31.05s -41d43m37.2s
15h46m44.73s -34d30m35.5s
16h12m43.75s -38d15m03.3s
16h08m54.69s -39d37m43.1s
15h56m02.09s -36d55m28.3s
16h08m22.5s -39d04m46s
15h51m46.95s -35d56m44.1s
15h59m16.48s -41d57m10.3s
15h49m12.1s -35d39m05.1s
15h56m09.18s -37d56m06.1s
16h00m44.53s -41d55m31.2s
15h59m28.39s -40d21m51.3s
16h08m30.7s -38d28m26.8s
15h45m12.87s -34d17m30.8s
5h23m04.72s 1d37m15.3s
5h25m50.37s 1d49m37.3s
5h40m24.15s -0d31m21.3s
5h32m32.66s -1d13m46.1s
5h32m06.49s -1d11m00.8s
5h32m25.79s -0d36m53.4s
5h29m23.26s -1d25m15.5s
5h31m20.63s -0d49m19.8s
5h39m02.57s -1d20m32.3s
5h35m46.01s -0d57m52.2s
5h38m27.26s -2d45m09.7s
5h38m33.69s -2d44m14.1s
5h39m39.83s -2d31m21.9s
11h32m41.27s -26d51m56s
18h42m57.95s -35d32m42.7s
18h52m17.29s -37d00m11.9s
04h19m15.86s +29d06m27.2s
04h55m10.98s +30d21m59.1s
11h01m51.95s -34d42m17.7s
15h56m42.31s -37d49m15.47s
